"row","col"
-10,-23
-11,-23
-12,-23
-12,-22
-12,-21
-12,-20
-11,-19
-9,-19
-9,-22
-5,-22
-5,-19
-3,-19
-2,-20
-2,-21
-2,-22
-2,-23
-3,-23
-4,-23
-6,-17
-7,-17
-8,-17
-9,-16
-9,-15
-5,-16
-5,-15
-4,-14
-10,-14
-5,-12
-9,-12
-8,-11
-7,-11
-6,-11
-4,-10
-5,-9
-5,-8
-4,-9
-3,-9
-3,-8
-2,-8
-2,-7
-1,-7
-2,-6
-2,-5
-1,-5
0,-4
1,-4
-2,-4
-2,-3
0,-3
-2,-2
0,-2
2,-3
2,-2
2,-1
2,0
2,1
3,1
2,2
2,3
2,4
2,5
0,-1
0,0
0,1
0,2
0,3
0,4
0,5
0,6
1,6
-2,-1
-2,0
-2,1
-2,2
-2,3
-2,4
-2,5
-2,6
-2,7
-1,7
-2,8
-2,9
-2,10
-1,9
-3,10
-3,11
-4,11
-4,12
-5,11
-5,10
-4,-4
-4,6
-4,5
-4,4
-4,3
-4,2
-4,1
-4,0
-4,-1
-4,-2
-4,-3
-5,-3
-5,5
-6,-2
-6,-1
-6,0
-6,1
-6,2
-6,3
-6,4
-7,4
-7,-2
-8,-3
-8,-2
-8,-1
-8,3
-8,4
-8,5
-10,-1
-11,-1
-12,-1
-13,-1
-14,-1
-14,-2
-14,-3
-13,-4
-10,3
-11,3
-12,3
-13,3
-14,3
-14,4
-14,5
-13,6
-5,14
-6,13
-7,13
-8,13
-9,14
-10,16
-4,16
-5,17
-5,18
-9,17
-9,18
-8,19
-7,19
-6,19
-5,21
-3,21
-9,21
-11,21
-12,22
-12,23
-12,24
-12,25
-2,22
-2,23
-2,24
-2,25
-3,25
-4,25
-11,25
-10,25
-9,24
-5,24
4,-1
4,3
4,-2
4,-3
5,-1
5,3
4,4
4,5
7,0
7,-1
7,-2
7,2
7,3
7,4
8,2
8,3
8,4
8,0
8,-1
8,-2
9,0
9,-1
9,-3
10,-1
10,-2
10,-3
11,-2
9,2
9,3
9,5
10,3
10,4
10,5
11,4
