"row","col"
1,-20
2,-19
3,-19
0,-19
-1,-19
2,-16
3,-16
4,-16
0,-16
-1,-16
-2,-16
-2,-15
-1,-15
4,-15
3,-15
6,-14
7,-14
8,-14
-4,-14
-5,-14
-6,-14
-6,-12
-4,-12
8,-12
6,-12
6,-11
5,-11
-4,-11
-3,-11
-4,-10
-4,-9
-5,-9
6,-10
6,-9
7,-9
6,-8
6,-7
-4,-8
-4,-7
-1,-7
-1,-6
3,-7
3,-6
6,-6
6,-5
5,-5
-4,-6
-4,-5
-3,-5
-5,-4
-6,-5
-7,-4
7,-4
8,-5
9,-4
7,-2
7,-1
7,0
7,1
7,2
7,3
8,2
8,1
-5,-2
-5,-1
-5,0
-5,1
-5,2
-5,3
-6,2
-6,1
-3,3
-2,3
-1,3
5,3
4,3
3,3
-3,4
-2,4
-1,4
3,4
4,4
5,4
-2,5
-3,5
-3,6
-4,6
4,5
5,5
5,6
6,6
4,7
-2,7
-5,8
-5,9
-4,9
7,8
7,9
6,9
6,11
6,12
6,13
5,13
5,12
5,11
-4,11
-4,12
-4,13
-3,13
-3,12
-3,11
-6,11
-7,12
-8,13
-7,14
8,11
9,12
10,13
9,14
